
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)"
="",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t"

="_t",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="zMETAB1",="-0.0244",="-0.0521",="-0.126**",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00677",="-0.0693",="-0.152***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0967)",="(0.0896)",="(0.0387)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.0802)",="(0.0923)",="(0.0333)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="neflbr",="0.465***",="0.746***",="0.417***",="0.486***",="0.753***",="0.404***",="0.478***",="0.760***",="0.400***",="0.491***",="0.745***",="0.398***",="0.471***",="0.744***",="0.400***",="0.463***",="0.769***",="0.402***",="0.476***",="0.746***",="0.403***",="0.477***",="0.741***",="0.415***",="0.471***",="0.749***",="0.417***",="0.472***",="0.762***",="0.410***",="0.473***",="0.770***",="0.426***",="0.473***",="0.750***",="0.424***",="0.477***",="0.749***",="0.413***",="0.474***",="0.745***",="0.431***",="0.499***",="0.752***",="0.415***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.120)",="(0.103)",="(0.0497)",="(0.120)",="(0.104)",="(0.0502)",="(0.118)",="(0.103)",="(0.0507)",="(0.121)",="(0.103)",="(0.0504)",="(0.119)",="(0.103)",="(0.0504)",="(0.118)",="(0.105)",="(0.0496)",="(0.118)",="(0.103)",="(0.0501)",="(0.119)",="(0.104)",="(0.0495)",="(0.118)",="(0.103)",="(0.0492)",="(0.118)",="(0.104)",="(0.0492)",="(0.118)",="(0.105)",="(0.0504)",="(0.118)",="(0.103)",="(0.0492)",="(0.119)",="(0.103)",="(0.0497)",="(0.118)",="(0.102)",="(0.0497)",="(0.120)",="(0.103)",="(0.0493)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="c.zMETAB1#c.neflbr",="-0.0907",="-0.0830",="-0.0594",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
