"metabolome","transition","term","estimate","sig","p"
"metabolome PC1","PD","NfL_main",0.464,"***","<.001"
"metabolome PC1","Dementia","NfL_main",0.745,"***","<.001"
"metabolome PC1","Mortality","NfL_main",0.419,"***","<.001"
"metabolome PC2","PD","NfL_main",0.486,"***","<.001"
"metabolome PC2","Dementia","NfL_main",0.753,"***","<.001"
"metabolome PC2","Mortality","NfL_main",0.405,"***","<.001"
"metabolome PC3","PD","NfL_main",0.478,"***","<.001"
"metabolome PC3","Dementia","NfL_main",0.76,"***","<.001"
"metabolome PC3","Mortality","NfL_main",0.401,"***","<.001"
"metabolome PC4","PD","NfL_main",0.491,"***","<.001"
"metabolome PC4","Dementia","NfL_main",0.744,"***","<.001"
"metabolome PC4","Mortality","NfL_main",0.399,"***","<.001"
"metabolome PC5","PD","NfL_main",0.47,"***","<.001"
"metabolome PC5","Dementia","NfL_main",0.743,"***","<.001"
"metabolome PC5","Mortality","NfL_main",0.401,"***","<.001"
"metabolome PC6","PD","NfL_main",0.463,"***","<.001"
"metabolome PC6","Dementia","NfL_main",0.769,"***","<.001"
"metabolome PC6","Mortality","NfL_main",0.403,"***","<.001"
"metabolome PC7","PD","NfL_main",0.476,"***","<.001"
"metabolome PC7","Dementia","NfL_main",0.746,"***","<.001"
"metabolome PC7","Mortality","NfL_main",0.404,"***","<.001"
"metabolome PC8","PD","NfL_main",0.477,"***","<.001"
"metabolome PC8","Dementia","NfL_main",0.741,"***","<.001"
"metabolome PC8","Mortality","NfL_main",0.416,"***","<.001"
"metabolome PC9","PD","NfL_main",0.471,"***","<.001"
"metabolome PC9","Dementia","NfL_main",0.749,"***","<.001"
"metabolome PC9","Mortality","NfL_main",0.418,"***","<.001"
"metabolome PC10","PD","NfL_main",0.47,"***","<.001"
"metabolome PC10","Dementia","NfL_main",0.762,"***","<.001"
"metabolome PC10","Mortality","NfL_main",0.411,"***","<.001"
"metabolome PC11","PD","NfL_main",0.474,"***","<.001"
"metabolome PC11","Dementia","NfL_main",0.772,"***","<.001"
"metabolome PC11","Mortality","NfL_main",0.426,"***","<.001"
"metabolome PC12","PD","NfL_main",0.473,"***","<.001"
"metabolome PC12","Dementia","NfL_main",0.749,"***","<.001"
"metabolome PC12","Mortality","NfL_main",0.426,"***","<.001"
"metabolome PC13","PD","NfL_main",0.475,"***","<.001"
"metabolome PC13","Dementia","NfL_main",0.748,"***","<.001"
"metabolome PC13","Mortality","NfL_main",0.413,"***","<.001"
"metabolome PC14","PD","NfL_main",0.473,"***","<.001"
"metabolome PC14","Dementia","NfL_main",0.745,"***","<.001"
"metabolome PC14","Mortality","NfL_main",0.432,"***","<.001"
"metabolome PC15","PD","NfL_main",0.497,"***","<.001"
"metabolome PC15","Dementia","NfL_main",0.751,"***","<.001"
"metabolome PC15","Mortality","NfL_main",0.417,"***","<.001"
"metabolome PC1","PD","NfL_int",-0.0917,NA,">.05"
"metabolome PC1","Dementia","NfL_int",-0.0851,NA,">.05"
"metabolome PC1","Mortality","NfL_int",-0.0543,NA,">.05"
"metabolome PC2","PD","NfL_int",0.13,NA,">.05"
"metabolome PC2","Dementia","NfL_int",0.0643,NA,">.05"
"metabolome PC2","Mortality","NfL_int",-0.0321,NA,">.05"
"metabolome PC3","PD","NfL_int",-0.0417,NA,">.05"
"metabolome PC3","Dementia","NfL_int",-0.0887,NA,">.05"
"metabolome PC3","Mortality","NfL_int",0.0646,NA,">.05"
"metabolome PC4","PD","NfL_int",0.0763,NA,">.05"
"metabolome PC4","Dementia","NfL_int",-0.0588,NA,">.05"
"metabolome PC4","Mortality","NfL_int",-0.0827,NA,">.05"
"metabolome PC5","PD","NfL_int",-0.147,NA,">.05"
"metabolome PC5","Dementia","NfL_int",-0.083,NA,">.05"
"metabolome PC5","Mortality","NfL_int",-0.0779,NA,">.05"
"metabolome PC6","PD","NfL_int",-0.0369,NA,">.05"
"metabolome PC6","Dementia","NfL_int",0.156,NA,">.05"
"metabolome PC6","Mortality","NfL_int",-0.0942,"*","<.05"
"metabolome PC7","PD","NfL_int",0.00906,NA,">.05"
"metabolome PC7","Dementia","NfL_int",-0.0341,NA,">.05"
"metabolome PC7","Mortality","NfL_int",-0.038,NA,">.05"
"metabolome PC8","PD","NfL_int",-0.163,NA,">.05"
"metabolome PC8","Dementia","NfL_int",-0.183,NA,">.05"
"metabolome PC8","Mortality","NfL_int",0.0188,NA,">.05"
"metabolome PC9","PD","NfL_int",-0.0752,NA,">.05"
"metabolome PC9","Dementia","NfL_int",-0.132,NA,">.05"
"metabolome PC9","Mortality","NfL_int",0.016,NA,">.05"
"metabolome PC10","PD","NfL_int",0.000974,NA,">.05"
"metabolome PC10","Dementia","NfL_int",0.098,NA,">.05"
"metabolome PC10","Mortality","NfL_int",-0.104,"*","<.05"
"metabolome PC11","PD","NfL_int",0.00166,NA,">.05"
"metabolome PC11","Dementia","NfL_int",0.111,NA,">.05"
"metabolome PC11","Mortality","NfL_int",0.000256,NA,">.05"
"metabolome PC12","PD","NfL_int",-0.121,NA,">.05"
"metabolome PC12","Dementia","NfL_int",-0.136,NA,">.05"
"metabolome PC12","Mortality","NfL_int",0.0125,NA,">.05"
"metabolome PC13","PD","NfL_int",-0.0457,NA,">.05"
"metabolome PC13","Dementia","NfL_int",0.0124,NA,">.05"
"metabolome PC13","Mortality","NfL_int",0.00526,NA,">.05"
"metabolome PC14","PD","NfL_int",-0.138,NA,">.05"
"metabolome PC14","Dementia","NfL_int",-0.0777,NA,">.05"
"metabolome PC14","Mortality","NfL_int",0.0738,NA,">.05"
"metabolome PC15","PD","NfL_int",0.17,NA,">.05"
"metabolome PC15","Dementia","NfL_int",0.0236,NA,">.05"
"metabolome PC15","Mortality","NfL_int",0.0249,NA,">.05"
"metabolome PC1","PD","GFAP_main",-0.0735,NA,">.05"
"metabolome PC1","Dementia","GFAP_main",0.975,"***","<.001"
"metabolome PC1","Mortality","GFAP_main",0.00968,NA,">.05"
"metabolome PC2","PD","GFAP_main",-0.0586,NA,">.05"
"metabolome PC2","Dementia","GFAP_main",1.021,"***","<.001"
"metabolome PC2","Mortality","GFAP_main",-0.0233,NA,">.05"
"metabolome PC3","PD","GFAP_main",-0.0541,NA,">.05"
"metabolome PC3","Dementia","GFAP_main",1.04,"***","<.001"
"metabolome PC3","Mortality","GFAP_main",-0.0145,NA,">.05"
"metabolome PC4","PD","GFAP_main",-0.0293,NA,">.05"
"metabolome PC4","Dementia","GFAP_main",1.017,"***","<.001"
"metabolome PC4","Mortality","GFAP_main",0.00605,NA,">.05"
"metabolome PC5","PD","GFAP_main",-0.0474,NA,">.05"
"metabolome PC5","Dementia","GFAP_main",1.022,"***","<.001"
"metabolome PC5","Mortality","GFAP_main",-0.0111,NA,">.05"
"metabolome PC6","PD","GFAP_main",-0.0718,NA,">.05"
"metabolome PC6","Dementia","GFAP_main",1.039,"***","<.001"
"metabolome PC6","Mortality","GFAP_main",-0.026,NA,">.05"
"metabolome PC7","PD","GFAP_main",-0.0498,NA,">.05"
"metabolome PC7","Dementia","GFAP_main",0.975,"***","<.001"
"metabolome PC7","Mortality","GFAP_main",-0.00389,NA,">.05"
"metabolome PC8","PD","GFAP_main",-0.0673,NA,">.05"
"metabolome PC8","Dementia","GFAP_main",1.039,"***","<.001"
"metabolome PC8","Mortality","GFAP_main",-0.0171,NA,">.05"
"metabolome PC9","PD","GFAP_main",-0.0517,NA,">.05"
"metabolome PC9","Dementia","GFAP_main",0.979,"***","<.001"
"metabolome PC9","Mortality","GFAP_main",-0.00123,NA,">.05"
"metabolome PC10","PD","GFAP_main",-0.0534,NA,">.05"
"metabolome PC10","Dementia","GFAP_main",0.988,"***","<.001"
"metabolome PC10","Mortality","GFAP_main",-0.0155,NA,">.05"
"metabolome PC11","PD","GFAP_main",-0.0484,NA,">.05"
"metabolome PC11","Dementia","GFAP_main",0.988,"***","<.001"
"metabolome PC11","Mortality","GFAP_main",-0.00274,NA,">.05"
"metabolome PC12","PD","GFAP_main",-0.0518,NA,">.05"
"metabolome PC12","Dementia","GFAP_main",0.983,"***","<.001"
"metabolome PC12","Mortality","GFAP_main",-0.0108,NA,">.05"
"metabolome PC13","PD","GFAP_main",-0.0564,NA,">.05"
"metabolome PC13","Dementia","GFAP_main",0.984,"***","<.001"
"metabolome PC13","Mortality","GFAP_main",-0.00486,NA,">.05"
"metabolome PC14","PD","GFAP_main",-0.049,NA,">.05"
"metabolome PC14","Dementia","GFAP_main",0.982,"***","<.001"
"metabolome PC14","Mortality","GFAP_main",-0.00957,NA,">.05"
"metabolome PC15","PD","GFAP_main",-0.0566,NA,">.05"
"metabolome PC15","Dementia","GFAP_main",0.976,"***","<.001"
"metabolome PC15","Mortality","GFAP_main",-0.00864,NA,">.05"
"metabolome PC1","PD","GFAP_int",-0.159,NA,">.05"
"metabolome PC1","Dementia","GFAP_int",-0.0862,NA,">.05"
"metabolome PC1","Mortality","GFAP_int",-0.0124,NA,">.05"
"metabolome PC2","PD","GFAP_int",-0.0407,NA,">.05"
"metabolome PC2","Dementia","GFAP_int",0.209,"*","<.05"
"metabolome PC2","Mortality","GFAP_int",-0.0467,NA,">.05"
"metabolome PC3","PD","GFAP_int",-0.16,NA,">.05"
"metabolome PC3","Dementia","GFAP_int",-0.295,"**","<.01"
"metabolome PC3","Mortality","GFAP_int",0.0354,NA,">.05"
"metabolome PC4","PD","GFAP_int",0.0848,NA,">.05"
"metabolome PC4","Dementia","GFAP_int",0.144,NA,">.05"
"metabolome PC4","Mortality","GFAP_int",0.0311,NA,">.05"
"metabolome PC5","PD","GFAP_int",0.0788,NA,">.05"
"metabolome PC5","Dementia","GFAP_int",0.195,"*","<.05"
"metabolome PC5","Mortality","GFAP_int",-0.0789,NA,">.05"
"metabolome PC6","PD","GFAP_int",-0.0938,NA,">.05"
"metabolome PC6","Dementia","GFAP_int",0.259,"**","<.01"
"metabolome PC6","Mortality","GFAP_int",-0.0683,NA,">.05"
"metabolome PC7","PD","GFAP_int",0.165,NA,">.05"
"metabolome PC7","Dementia","GFAP_int",-0.0176,NA,">.05"
"metabolome PC7","Mortality","GFAP_int",0.0261,NA,">.05"
"metabolome PC8","PD","GFAP_int",0.0441,NA,">.05"
"metabolome PC8","Dementia","GFAP_int",-0.476,"***","<.001"
"metabolome PC8","Mortality","GFAP_int",0.0406,NA,">.05"
"metabolome PC9","PD","GFAP_int",-0.129,NA,">.05"
"metabolome PC9","Dementia","GFAP_int",-0.186,NA,">.05"
"metabolome PC9","Mortality","GFAP_int",0.0372,NA,">.05"
"metabolome PC10","PD","GFAP_int",-0.108,NA,">.05"
"metabolome PC10","Dementia","GFAP_int",0.0794,NA,">.05"
"metabolome PC10","Mortality","GFAP_int",-0.0464,NA,">.05"
"metabolome PC11","PD","GFAP_int",0.0773,NA,">.05"
"metabolome PC11","Dementia","GFAP_int",0.0519,NA,">.05"
"metabolome PC11","Mortality","GFAP_int",0.000178,NA,">.05"
"metabolome PC12","PD","GFAP_int",0.0121,NA,">.05"
"metabolome PC12","Dementia","GFAP_int",-0.215,"*","<.05"
"metabolome PC12","Mortality","GFAP_int",0.0107,NA,">.05"
"metabolome PC13","PD","GFAP_int",0.0353,NA,">.05"
"metabolome PC13","Dementia","GFAP_int",-0.0877,NA,">.05"
"metabolome PC13","Mortality","GFAP_int",-0.0368,NA,">.05"
"metabolome PC14","PD","GFAP_int",0.0486,NA,">.05"
"metabolome PC14","Dementia","GFAP_int",-0.0822,NA,">.05"
"metabolome PC14","Mortality","GFAP_int",-0.0177,NA,">.05"
"metabolome PC15","PD","GFAP_int",-0.0781,NA,">.05"
"metabolome PC15","Dementia","GFAP_int",-0.123,NA,">.05"
"metabolome PC15","Mortality","GFAP_int",0.0163,NA,">.05"
"metabolome PC1","PD","metabolome(NfL)_main",-0.0238,NA,">.05"
"metabolome PC1","Dementia","metabolome(NfL)_main",-0.0506,NA,">.05"
"metabolome PC1","Mortality","metabolome(NfL)_main",-0.131,"***","<.001"
"metabolome PC2","PD","metabolome(NfL)_main",0.0182,NA,">.05"
"metabolome PC2","Dementia","metabolome(NfL)_main",0.0104,NA,">.05"
"metabolome PC2","Mortality","metabolome(NfL)_main",0.12,"**","<.01"
"metabolome PC3","PD","metabolome(NfL)_main",-0.124,NA,">.05"
"metabolome PC3","Dementia","metabolome(NfL)_main",-0.0297,NA,">.05"
"metabolome PC3","Mortality","metabolome(NfL)_main",0.014,NA,">.05"
"metabolome PC4","PD","metabolome(NfL)_main",-0.0839,NA,">.05"
"metabolome PC4","Dementia","metabolome(NfL)_main",-0.00521,NA,">.05"
"metabolome PC4","Mortality","metabolome(NfL)_main",-0.0613,NA,">.05"
"metabolome PC5","PD","metabolome(NfL)_main",0.136,NA,">.05"
"metabolome PC5","Dementia","metabolome(NfL)_main",0.0992,NA,">.05"
"metabolome PC5","Mortality","metabolome(NfL)_main",-0.0917,"*","<.05"
"metabolome PC6","PD","metabolome(NfL)_main",0.155,NA,">.05"
"metabolome PC6","Dementia","metabolome(NfL)_main",-0.0785,NA,">.05"
"metabolome PC6","Mortality","metabolome(NfL)_main",0.108,"**","<.01"
"metabolome PC7","PD","metabolome(NfL)_main",0.0109,NA,">.05"
"metabolome PC7","Dementia","metabolome(NfL)_main",-0.0521,NA,">.05"
"metabolome PC7","Mortality","metabolome(NfL)_main",-0.134,"***","<.001"
"metabolome PC8","PD","metabolome(NfL)_main",0.0308,NA,">.05"
"metabolome PC8","Dementia","metabolome(NfL)_main",0.0251,NA,">.05"
"metabolome PC8","Mortality","metabolome(NfL)_main",-0.0305,NA,">.05"
"metabolome PC9","PD","metabolome(NfL)_main",-0.0422,NA,">.05"
"metabolome PC9","Dementia","metabolome(NfL)_main",0.0238,NA,">.05"
"metabolome PC9","Mortality","metabolome(NfL)_main",-0.121,"**","<.01"
"metabolome PC10","PD","metabolome(NfL)_main",0.0615,NA,">.05"
"metabolome PC10","Dementia","metabolome(NfL)_main",-0.096,NA,">.05"
"metabolome PC10","Mortality","metabolome(NfL)_main",0.132,"***","<.001"
"metabolome PC11","PD","metabolome(NfL)_main",0.0127,NA,">.05"
"metabolome PC11","Dementia","metabolome(NfL)_main",-0.103,NA,">.05"
"metabolome PC11","Mortality","metabolome(NfL)_main",-0.0569,NA,">.05"
"metabolome PC12","PD","metabolome(NfL)_main",-0.00973,NA,">.05"
"metabolome PC12","Dementia","metabolome(NfL)_main",0.0296,NA,">.05"
"metabolome PC12","Mortality","metabolome(NfL)_main",-0.0973,"**","<.01"
"metabolome PC13","PD","metabolome(NfL)_main",0.104,NA,">.05"
"metabolome PC13","Dementia","metabolome(NfL)_main",0.00769,NA,">.05"
"metabolome PC13","Mortality","metabolome(NfL)_main",0.0991,"**","<.01"
"metabolome PC14","PD","metabolome(NfL)_main",0.138,NA,">.05"
"metabolome PC14","Dementia","metabolome(NfL)_main",0.0896,NA,">.05"
"metabolome PC14","Mortality","metabolome(NfL)_main",-0.0644,NA,">.05"
"metabolome PC15","PD","metabolome(NfL)_main",-0.192,"*","<.05"
"metabolome PC15","Dementia","metabolome(NfL)_main",-0.0572,NA,">.05"
"metabolome PC15","Mortality","metabolome(NfL)_main",0.058,NA,">.05"
"metabolome PC1","PD","metabolome(GFAP)_main",0.00718,NA,">.05"
"metabolome PC1","Dementia","metabolome(GFAP)_main",-0.0684,NA,">.05"
"metabolome PC1","Mortality","metabolome(GFAP)_main",-0.157,"***","<.001"
"metabolome PC2","PD","metabolome(GFAP)_main",0.146,NA,">.05"
"metabolome PC2","Dementia","metabolome(GFAP)_main",-0.0993,NA,">.05"
"metabolome PC2","Mortality","metabolome(GFAP)_main",0.134,"***","<.001"
"metabolome PC3","PD","metabolome(GFAP)_main",-0.0718,NA,">.05"
"metabolome PC3","Dementia","metabolome(GFAP)_main",0.142,NA,">.05"
"metabolome PC3","Mortality","metabolome(GFAP)_main",0.0426,NA,">.05"
"metabolome PC4","PD","metabolome(GFAP)_main",-0.0748,NA,">.05"
"metabolome PC4","Dementia","metabolome(GFAP)_main",-0.175,NA,">.05"
"metabolome PC4","Mortality","metabolome(GFAP)_main",-0.136,"***","<.001"
"metabolome PC5","PD","metabolome(GFAP)_main",-0.00371,NA,">.05"
"metabolome PC5","Dementia","metabolome(GFAP)_main",-0.141,NA,">.05"
"metabolome PC5","Mortality","metabolome(GFAP)_main",-0.103,"***","<.001"
"metabolome PC6","PD","metabolome(GFAP)_main",0.191,"*","<.05"
"metabolome PC6","Dementia","metabolome(GFAP)_main",-0.174,NA,">.05"
"metabolome PC6","Mortality","metabolome(GFAP)_main",0.0895,"**","<.01"
"metabolome PC7","PD","metabolome(GFAP)_main",-0.08,NA,">.05"
"metabolome PC7","Dementia","metabolome(GFAP)_main",-0.0737,NA,">.05"
"metabolome PC7","Mortality","metabolome(GFAP)_main",-0.18,"***","<.001"
"metabolome PC8","PD","metabolome(GFAP)_main",-0.115,NA,">.05"
"metabolome PC8","Dementia","metabolome(GFAP)_main",0.252,"**","<.01"
"metabolome PC8","Mortality","metabolome(GFAP)_main",-0.0508,NA,">.05"
"metabolome PC9","PD","metabolome(GFAP)_main",-0.0271,NA,">.05"
"metabolome PC9","Dementia","metabolome(GFAP)_main",0.0509,NA,">.05"
"metabolome PC9","Mortality","metabolome(GFAP)_main",-0.133,"***","<.001"
"metabolome PC10","PD","metabolome(GFAP)_main",0.128,NA,">.05"
"metabolome PC10","Dementia","metabolome(GFAP)_main",-0.0853,NA,">.05"
"metabolome PC10","Mortality","metabolome(GFAP)_main",0.095,"**","<.01"
"metabolome PC11","PD","metabolome(GFAP)_main",-0.015,NA,">.05"
"metabolome PC11","Dementia","metabolome(GFAP)_main",-0.061,NA,">.05"
"metabolome PC11","Mortality","metabolome(GFAP)_main",-0.0482,NA,">.05"
"metabolome PC12","PD","metabolome(GFAP)_main",-0.0951,NA,">.05"
"metabolome PC12","Dementia","metabolome(GFAP)_main",0.103,NA,">.05"
"metabolome PC12","Mortality","metabolome(GFAP)_main",-0.0907,"**","<.01"
"metabolome PC13","PD","metabolome(GFAP)_main",0.0596,NA,">.05"
"metabolome PC13","Dementia","metabolome(GFAP)_main",0.0903,NA,">.05"
"metabolome PC13","Mortality","metabolome(GFAP)_main",0.128,"***","<.001"
"metabolome PC14","PD","metabolome(GFAP)_main",0.0274,NA,">.05"
"metabolome PC14","Dementia","metabolome(GFAP)_main",0.116,NA,">.05"
"metabolome PC14","Mortality","metabolome(GFAP)_main",0.00211,NA,">.05"
"metabolome PC15","PD","metabolome(GFAP)_main",-0.0316,NA,">.05"
"metabolome PC15","Dementia","metabolome(GFAP)_main",0.0605,NA,">.05"
"metabolome PC15","Mortality","metabolome(GFAP)_main",0.0679,"*","<.05"
