
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)"
="",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t",="_t"

="_t",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="zMETAB1",="-0.0238",="-0.0506",="-0.131***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00718",="-0.0684",="-0.157***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.0967)",="(0.0896)",="(0.0388)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.0802)",="(0.0923)",="(0.0334)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="neflbr",="0.464***",="0.745***",="0.419***",="0.486***",="0.753***",="0.405***",="0.478***",="0.760***",="0.401***",="0.491***",="0.744***",="0.399***",="0.470***",="0.743***",="0.401***",="0.463***",="0.769***",="0.403***",="0.476***",="0.746***",="0.404***",="0.477***",="0.741***",="0.416***",="0.471***",="0.749***",="0.418***",="0.470***",="0.762***",="0.411***",="0.474***",="0.772***",="0.426***",="0.473***",="0.749***",="0.426***",="0.475***",="0.748***",="0.413***",="0.473***",="0.745***",="0.432***",="0.497***",="0.751***",="0.417***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.120)",="(0.103)",="(0.0498)",="(0.120)",="(0.104)",="(0.0503)",="(0.118)",="(0.103)",="(0.0507)",="(0.121)",="(0.103)",="(0.0505)",="(0.119)",="(0.103)",="(0.0505)",="(0.118)",="(0.105)",="(0.0497)",="(0.118)",="(0.103)",="(0.0502)",="(0.119)",="(0.104)",="(0.0495)",="(0.118)",="(0.103)",="(0.0493)",="(0.118)",="(0.104)",="(0.0493)",="(0.118)",="(0.105)",="(0.0505)",="(0.118)",="(0.103)",="(0.0493)",="(0.119)",="(0.103)",="(0.0497)",="(0.118)",="(0.102)",="(0.0498)",="(0.120)",="(0.103)",="(0.0494)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="c.zMETAB1#c.neflbr",="-0.0917",="-0.0851",="-0.0543",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
