"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46"
"PM2.5_main","0.00338","-0.00506","0.0642","0.0225","-0.0215","0.0806","0.0181","-0.0260","0.0794","0.0292","-0.0218","0.0772","0.0288","-0.0240","0.0693","0.0181","-0.0256","0.0731","0.0104","-0.0268","0.0501","0.00964","-0.00932","0.0676","0.0000709","-0.0215","0.0644","0.00906","-0.0236","0.0691","0.0144","-0.0276","0.0772","0.00852","-0.0188","0.0673","-0.0210","-0.0211","0.0702","0.00869","-0.0245","0.0656","0.00487","-0.0255","0.0682"
"PM2.5_interaction","-0.0110","0.161*","0.0421","0.0974","-0.0122","0.0639","-0.158","0.0502","-0.0438","0.0963","0.0301","0.0387","0.223*","-0.00786","0.0261","0.120","-0.0509","0.0271","-0.0124","-0.0454","-0.0601","0.0617","0.141","-0.00783","-0.140","0.118","0.0317","0.324**","0.0137","0.0116","0.0907","-0.0337","0.0563","-0.0453","0.0956","-0.00801","0.273**","-0.0283","-0.0266","0.0744","0.0510","-0.0172","-0.0363","-0.0297","0.0107"
"PM10_main","-0.0728","-0.0292","-0.0232","-0.0672","-0.0232","0.00498","-0.0623","-0.0214","-0.0113","-0.0745","-0.0226","0.00956","-0.0669","-0.0265","-0.0286","-0.0592","-0.0285","-0.0219","-0.0598","-0.0253","-0.0120","-0.0640","-0.0158","-0.0139","-0.0596","-0.0188","-0.0167","-0.0607","-0.0255","-0.0147","-0.0638","-0.0271","-0.00597","-0.0678","-0.0121","-0.0130","-0.0972","-0.0233","-0.00975","-0.0580","-0.0226","-0.0116","-0.0687","-0.0223","-0.0170"
"PM10_interaction","-0.0454","-0.00747","-0.0269","-0.0713","-0.0416","0.0938*","0.0810","0.00193","-0.00916","-0.0669","0.000454","0.0751","-0.0777","-0.0395","-0.0450","-0.0244","-0.102","-0.0565","-0.0517","0.00794","0.0322","0.0276","0.111","-0.0166","0.0488","0.113","-0.0111","0.00415","-0.0650","0.00374","-0.0702","-0.0426","0.0404","-0.0987","0.230**","0.0583","0.302**","0.0116","-0.0248","-0.0659","0.0269","0.0306","-0.0828","-0.0112","0.0190"
"PM2.5_10_main","-0.00182","-0.195*","0.0183","0.00256","-0.200*","0.0248","0.0149","-0.199*","0.0372","-0.0234","-0.204*","0.0370","0.000708","-0.198*","0.0296","0.0155","-0.203*","0.0188","0.0194","-0.201*","0.0271","0.0138","-0.193*","0.0200","0.0223","-0.198*","0.0232","0.0182","-0.199*","0.0249","0.0116","-0.194*","0.0391","0.00502","-0.194*","0.0268","0.00381","-0.196*","0.0215","0.0192","-0.196*","0.0291","0.0167","-0.198*","0.0173"
"PM2.5_10_interaction","-0.0977","0.00545","-0.0519","-0.144","-0.0525","-0.00156","0.110","0.0164","-0.0406","-0.196","-0.0559","0.0414","-0.209*","-0.00853","0.0166","-0.0235","-0.0800","-0.0388","-0.104","-0.0995","0.0136","-0.0178","0.102","0.0511","0.0903","-0.0110","-0.0207","-0.0852","-0.0519","0.0101","-0.140","0.0163","0.0634","-0.206*","0.0871","0.0479","0.0934","-0.00984","0.000914","0.0288","0.0806","0.0540","-0.0328","-0.0792","0.0584"
"PM2.5(abs)_main","-0.163","0.0463","-0.00943","-0.166","0.0488","0.00164","-0.164","0.0482","0.00300","-0.160","0.0451","-0.00790","-0.156","0.0478","-0.0108","-0.160","0.0499","0.00466","-0.165","0.0465","-0.0114","-0.166","0.0549","0.00147","-0.162","0.0530","0.00312","-0.163","0.0507","0.00744","-0.173","0.0507","-0.000874","-0.167","0.0571","0.00582","-0.193","0.0443","-0.00177","-0.159","0.0526","0.00429","-0.154","0.0524","-0.000639"
"PM2.5(abs)_interaction","0.0325","0.0238","-0.0277","-0.0183","-0.0593","-0.0215","0.0619","0.0575","-0.0000242","0.0211","-0.0419","-0.0514","0.0778","-0.0480","-0.0273","0.0257","-0.0539","-0.0142","0.0677","-0.0626","-0.0548","-0.0473","0.0481","0.0499","0.0617","0.0632","-0.0158","0.0907","-0.00167","0.00741","-0.150","-0.00268","-0.0139","-0.0536","0.137","-0.0215","0.167","0.0510","-0.00244","-0.144","0.00419","-0.00423","0.119","0.0168","0.0323"
"NO2_main","-0.0941","0.101","-0.0185","-0.0838","0.0856","0.00246","-0.0831","0.0838","0.00952","-0.0658","0.0798","-0.0166","-0.0718","0.0861","-0.0130","-0.0838","0.0884","0.00317","-0.0920","0.0777","-0.0225","-0.0938","0.0853","-0.00209","-0.0906","0.0849","-0.00108","-0.0912","0.0864","0.00233","-0.0924","0.0866","0.00176","-0.0951","0.0890","-0.000383","-0.116","0.0801","0.000713","-0.0887","0.0839","-0.00251","-0.0873","0.0828","-0.00141"
"NO2_interaction","0.00624","0.156","-0.0678","0.0593","0.00665","0.0108","-0.143","0.0222","-0.0356","0.125","-0.0175","-0.0688","0.229*","0.0186","-0.0231","0.0886","0.0417","0.00927","0.0484","0.0372","-0.0700","-0.0922","0.0364","0.0179","0.0189","0.0532","-0.0100","0.255*","0.0896","0.00901","-0.0229","0.0405","0.0186","-0.0839","0.139","-0.0794","0.171","0.0131","-0.0301","-0.0395","-0.00839","-0.0266","0.0662","0.0197","0.0181"
