"metabolome","transition","term","estimate","sig","p"
"metabolome PC1","PD","PM2.5_main",0.00338,NA,">.05"
"metabolome PC1","Dementia","PM2.5_main",-0.00506,NA,">.05"
"metabolome PC1","Mortality","PM2.5_main",0.0642,NA,">.05"
"metabolome PC2","PD","PM2.5_main",0.0225,NA,">.05"
"metabolome PC2","Dementia","PM2.5_main",-0.0215,NA,">.05"
"metabolome PC2","Mortality","PM2.5_main",0.0806,NA,">.05"
"metabolome PC3","PD","PM2.5_main",0.0181,NA,">.05"
"metabolome PC3","Dementia","PM2.5_main",-0.026,NA,">.05"
"metabolome PC3","Mortality","PM2.5_main",0.0794,NA,">.05"
"metabolome PC4","PD","PM2.5_main",0.0292,NA,">.05"
"metabolome PC4","Dementia","PM2.5_main",-0.0218,NA,">.05"
"metabolome PC4","Mortality","PM2.5_main",0.0772,NA,">.05"
"metabolome PC5","PD","PM2.5_main",0.0288,NA,">.05"
"metabolome PC5","Dementia","PM2.5_main",-0.024,NA,">.05"
"metabolome PC5","Mortality","PM2.5_main",0.0693,NA,">.05"
"metabolome PC6","PD","PM2.5_main",0.0181,NA,">.05"
"metabolome PC6","Dementia","PM2.5_main",-0.0256,NA,">.05"
"metabolome PC6","Mortality","PM2.5_main",0.0731,NA,">.05"
"metabolome PC7","PD","PM2.5_main",0.0104,NA,">.05"
"metabolome PC7","Dementia","PM2.5_main",-0.0268,NA,">.05"
"metabolome PC7","Mortality","PM2.5_main",0.0501,NA,">.05"
"metabolome PC8","PD","PM2.5_main",0.00964,NA,">.05"
"metabolome PC8","Dementia","PM2.5_main",-0.00932,NA,">.05"
"metabolome PC8","Mortality","PM2.5_main",0.0676,NA,">.05"
"metabolome PC9","PD","PM2.5_main",0.0000709,NA,">.05"
"metabolome PC9","Dementia","PM2.5_main",-0.0215,NA,">.05"
"metabolome PC9","Mortality","PM2.5_main",0.0644,NA,">.05"
"metabolome PC10","PD","PM2.5_main",0.00906,NA,">.05"
"metabolome PC10","Dementia","PM2.5_main",-0.0236,NA,">.05"
"metabolome PC10","Mortality","PM2.5_main",0.0691,NA,">.05"
"metabolome PC11","PD","PM2.5_main",0.0144,NA,">.05"
"metabolome PC11","Dementia","PM2.5_main",-0.0276,NA,">.05"
"metabolome PC11","Mortality","PM2.5_main",0.0772,NA,">.05"
"metabolome PC12","PD","PM2.5_main",0.00852,NA,">.05"
"metabolome PC12","Dementia","PM2.5_main",-0.0188,NA,">.05"
"metabolome PC12","Mortality","PM2.5_main",0.0673,NA,">.05"
"metabolome PC13","PD","PM2.5_main",-0.021,NA,">.05"
"metabolome PC13","Dementia","PM2.5_main",-0.0211,NA,">.05"
"metabolome PC13","Mortality","PM2.5_main",0.0702,NA,">.05"
"metabolome PC14","PD","PM2.5_main",0.00869,NA,">.05"
"metabolome PC14","Dementia","PM2.5_main",-0.0245,NA,">.05"
"metabolome PC14","Mortality","PM2.5_main",0.0656,NA,">.05"
"metabolome PC15","PD","PM2.5_main",0.00487,NA,">.05"
"metabolome PC15","Dementia","PM2.5_main",-0.0255,NA,">.05"
"metabolome PC15","Mortality","PM2.5_main",0.0682,NA,">.05"
"metabolome PC1","PD","PM2.5_int",-0.011,NA,">.05"
"metabolome PC1","Dementia","PM2.5_int",0.161,"*","<.05"
"metabolome PC1","Mortality","PM2.5_int",0.0421,NA,">.05"
"metabolome PC2","PD","PM2.5_int",0.0974,NA,">.05"
"metabolome PC2","Dementia","PM2.5_int",-0.0122,NA,">.05"
"metabolome PC2","Mortality","PM2.5_int",0.0639,NA,">.05"
